count_language,language
22477796,JavaScript
12214048,Ruby
12015918,Java
10432181,Python
9642780,PHP
6134548,C
5644916,C++
2795080,Objective-C
2695072,Shell
2335622,C#
1573626,Perl
1123182,VimL
991213,Scala
856187,CoffeeScript
515310,Go
506859,Emacs Lisp
503003,Haskell
472862,Clojure
439278,Lua
411776,CSS
315369,Erlang
277139,ActionScript
260802,Groovy
259596,R
223645,Puppet
168703,Matlab
139849,D
137225,OCaml
127526,Rust
100159,Common Lisp
86323,Julia
75903,Arduino
75109,Assembly
69270,Dart
68640,Delphi
67453,Scheme
62056,ColdFusion
61386,Visual Basic
60471,TypeScript
55751,FORTRAN
53545,Racket
49106,HaXe
48291,PowerShell
47078,ASP
45457,Prolog
43736,F#
38402,Elixir
34392,Haxe
30641,Logos
30365,Standard ML
