"ID";"Degree"
497;0
2754;0
683;0
2777;0
2904;1
3323;1
641;0
3528;0
1883;0
3009;0
2659;0
4461;9
4144;7
452;1
4708;14
1391;0
3707;1
4258;9
4832;10
1776;0
4557;16
1246;0
4856;11
3425;1
3634;1
3241;0
3358;1
3682;1
4482;11
2701;0
3483;0
3112;1
1907;1
4696;8
1969;0
4067;14
1957;0
4299;17
3500;0
281;0
4586;15
3281;1
4585;13
3447;0
1775;1
2756;0
351;1
296;1
4729;17
3333;0
2590;1
2665;0
4385;14
161;0
1956;0
1683;1
963;0
2109;2
1059;0
4699;12
4936;11
3319;0
3645;0
2869;0
1947;1
4654;10
4619;13
744;0
986;3
3889;11
392;0
3661;1
2616;1
1687;0
191;0
3539;0
3771;8
1212;0
372;0
687;0
1996;0
2276;1
2790;1
2417;0
2140;0
1129;2
3683;1
4220;17
4580;13
19;0
1512;0
2473;0
4426;8
2058;0
521;0
3872;11
4567;20
677;0
2380;0
2602;0
938;0
330;0
3789;8
1092;0
3602;2
1731;0
2496;0
193;0
3371;0
4420;16
2084;0
2919;0
218;1
1841;0
890;0
3687;0
2820;0
1;2
764;0
270;0
2353;2
4460;13
1374;1
4292;9
796;0
280;0
2000;0
4718;8
4313;9
2315;0
1666;0
185;2
1379;0
1100;0
2753;0
2441;0
470;0
181;0
3561;2
1777;0
1899;0
3491;0
1612;2
4034;11
1098;2
2416;2
1921;1
3655;0
1844;1
865;0
1835;1
4107;11
1253;1
1217;0
742;1
3466;0
1714;2
156;0
1301;0
4757;7
3116;0
1712;0
919;0
645;1
1361;0
1472;1
4149;11
1797;0
2475;0
4015;11
1020;1
43;1
3005;1
817;2
2534;0
224;0
3117;0
3207;4
4818;10
4177;11
3658;0
1175;0
3284;1
4526;11
2738;1
1448;1
4435;7
1806;0
1830;0
4109;6
4938;9
4864;10
4129;8
4755;12
3979;11
34;1
4681;11
2031;3
2069;1
1941;0
4467;11
3842;8
2626;1
2190;0
3350;1
610;0
2440;0
1195;1
107;0
4607;10
3115;1
1430;0
1862;0
4073;9
2218;0
1604;1
314;1
1062;1
4132;11
1206;1
4035;10
3386;0
3307;0
4115;7
3252;0
4706;9
2236;0
1689;0
2022;0
4276;9
2966;1
2603;0
1787;0
2191;0
2368;0
3452;0
4745;16
1933;0
1036;1
3711;0
3764;13
4847;11
3874;6
4726;8
2381;0
3730;2
4155;14
1378;0
409;1
2993;0
739;2
1172;3
4146;14
4965;8
2261;1
684;1
4773;14
3614;0
816;1
3318;0
4943;11
4878;12
3697;1
2387;1
1894;2
203;0
2457;1
4691;8
4895;10
1013;0
4623;7
769;0
110;1
4170;12
136;1
2936;0
4091;10
2077;0
42;1
522;3
166;0
2943;0
4807;14
2955;0
3198;0
887;2
3900;16
1370;1
2651;1
4218;13
